,mode,opurp,travday,tripno,vocc,bridge1,bridge2,county,workcnty,business,occuptn,vehicle,hour,hour_sin,hour_cos,target,otime
57832,2,2,5,4,2,0,0,3,3,9,3,1,18,-1.0,-1.8369701987210297e-16,3.5263605246161616,1866
57834,2,10,5,6,4,0,0,3,3,9,3,1,20,-0.8660254037844386,0.5000000000000001,3.5263605246161616,2066
57836,9,11,5,3,0,0,0,3,9999999,9999999,9999999,0,14,-0.4999999999999998,-0.8660254037844388,3.5263605246161616,1466
57838,2,10,5,6,4,0,0,3,9999999,9999999,9999999,1,20,-0.8660254037844386,0.5000000000000001,3.5263605246161616,2066
57840,9,11,5,3,0,0,0,3,9999999,9999999,9999999,0,14,-0.4999999999999998,-0.8660254037844388,3.5263605246161616,1466
57842,2,10,5,6,4,0,0,3,9999999,9999999,9999999,1,20,-0.8660254037844386,0.5000000000000001,3.5263605246161616,2066
57844,1,2,1,2,1,0,0,3,9999999,4,2,3,16,-0.8660254037844384,-0.5000000000000004,4.605170185988092,1600
57865,2,4,1,5,2,0,0,3,9999999,9999999,9999999,4,16,-0.8660254037844384,-0.5000000000000004,3.2188758248682006,1625
57867,1,2,5,2,1,0,0,3,9999999,9,13,2,16,-0.8660254037844384,-0.5000000000000004,3.912023005428146,1650
57869,1,2,5,2,1,0,0,3,9999999,7,8,2,15,-0.7071067811865471,-0.7071067811865479,3.912023005428146,1550
57872,1,6,5,3,1,0,0,3,9999999,9999999,9999999,1,18,-1.0,-1.8369701987210297e-16,3.2188758248682006,1850
57874,1,4,3,2,1,0,0,3,3,9999999,9999999,2,15,-0.7071067811865471,-0.7071067811865479,3.912023005428146,1500
57876,1,2,3,4,1,0,0,3,3,9999999,9999999,2,7,0.9659258262890683,-0.25881904510252063,3.2188758248682006,700
57878,1,2,3,2,1,0,0,3,9999999,9999999,9999999,1,17,-0.9659258262890683,-0.25881904510252063,3.912023005428146,1750
57880,1,10,3,4,1,0,0,3,9999999,9999999,9999999,1,21,-0.7071067811865477,0.7071067811865474,3.912023005428146,2100
57882,23,2,3,2,0,0,0,3,9999999,9,8,0,16,-0.8660254037844384,-0.5000000000000004,3.2188758248682006,1600
57888,1,2,3,6,1,0,0,3,9999999,4,7,1,23,-0.25881904510252157,0.9659258262890681,3.4965075614664802,2300
57892,1,2,1,2,1,0,0,3,3,3,13,1,17,-0.9659258262890683,-0.25881904510252063,3.912023005428146,1700
57896,2,9,5,2,3,0,0,3,9999999,9999999,9999999,2,12,1.2246467991473532e-16,-1.0,3.912023005428146,1200
57900,1,2,4,4,1,0,0,3,9999999,4,3,3,17,-0.9659258262890683,-0.25881904510252063,4.189654742026425,1700
